Gene_pair,GeneID_1,GeneSymbol_1,GeneID_2,GeneSymbol_2,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
EPC2--ANKLE2,ENSG00000135999,EPC2,ENSG00000135999,ANKLE2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPC2--TNKS2,ENSG00000135999,EPC2,ENSG00000135999,TNKS2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPC2--TRAK1,ENSG00000135999,EPC2,ENSG00000135999,TRAK1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPG5--LPIN2,ENSG00000152223,EPG5,ENSG00000152223,LPIN2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPHA1-AS1--PELI1,ENSG00000229153,EPHA1-AS1,ENSG00000229153,PELI1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPHA1-AS1--RP4-669B10.3,ENSG00000229153,EPHA1-AS1,ENSG00000229153,RP4-669B10.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPM2A--FBXO30,ENSG00000112425,EPM2A,ENSG00000112425,FBXO30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPN1--CNIH4,ENSG00000063245,EPN1,ENSG00000063245,CNIH4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPN1--LENG8,ENSG00000063245,EPN1,ENSG00000063245,LENG8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
EPN1--NOVA2,ENSG00000063245,EPN1,ENSG00000063245,NOVA2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPS15--DHX36,ENSG00000085832,EPS15,ENSG00000085832,DHX36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPS15--HIPK1,ENSG00000085832,EPS15,ENSG00000085832,HIPK1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPS15--NRD1,ENSG00000085832,EPS15,ENSG00000085832,NRD1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPS15--ZNF121,ENSG00000085832,EPS15,ENSG00000085832,ZNF121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EPS15L1--BBC3,ENSG00000127527,EPS15L1,ENSG00000127527,BBC3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPS15L1--HMGB1,ENSG00000127527,EPS15L1,ENSG00000127527,HMGB1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPS15L1--TPM4,ENSG00000127527,EPS15L1,ENSG00000127527,TPM4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EPS15L1--TSC22D3,ENSG00000127527,EPS15L1,ENSG00000127527,TSC22D3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ERBB2--RP11-387H17.4,ENSG00000141736,ERBB2,ENSG00000141736,RP11-387H17.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERBB2IP--ANKRD31,,ERBB2IP,,ANKRD31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ERBB2IP--FAM172A,,ERBB2IP,,FAM172A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ERBB2IP--GUSBP3,,ERBB2IP,,GUSBP3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERBB2IP--RP11-285M22.3,,ERBB2IP,,RP11-285M22.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
